,0
165,"title:Physical Properties of Dairy Manure Pre- and Post-Anaerobic Digestion,abstract:Manure characteristics change through processing, including anaerobic digestion (AD). These changes can alter handling of manure during downstream operations. This study analyzed the density, total solids (TS) content, and volatile solids (VS) content of pre-digested and anaerobically digested dairy manure from seven dairy farms in Wisconsin. The density of pre-digested manure increased from 990 to 1065 kg m-3 as the TS level increased from 1.5% to 13.0%. Density and TS for pre-digested manure from facilities using separated solids as bedding were related with a linear model for TS ranging from 1.5% to 13.0% and with a polynomial model for TS ranging from 1.5% to 50%. The model shows that density decreases with an increasing TS content when TS is greater than 8.0%. Manure from dairy facilities that used sand bedding had a VS/TS ratio of 0.87. This ratio was higher than the ratio when manure solids were used as bedding (0.81) and when food waste was incorporated into the digester (0.77). This study also provides a simple methodology to estimate biogas yield by using the density of pre- and post-digested manure."
166,"title:Towards Lattice-Boltzmann modelling of unconfined gas mixing in anaerobic digestion,abstract:Computers and Fluids, 180 (2018) 11-21. doi:10.1016/j.compfluid.2018.12.008"
167,"title:Biochemical Methane Potential (BMP) Assay Method for Anaerobic Digestion Research,abstract:Biochemical methane potential (BMP) tests are widely used for characterizing a substrate’s influence on the anaerobic digestion process. As of 2018, there continues to be a lack of standardization of units and techniques, which impacts the comparability and validity of BMP results. However, BMP methods continue to evolve, and key aspects are studied to further eliminate systematic errors. This paper aims to update these key aspects with the latest research progress both to introduce the importance of each variable to those new to BMP measurements and to show the complexity required to design an accurate BMP test."
168,"title:Impact of Storage Conditions on the Methanogenic Activity of Anaerobic Digestion Inocula,abstract:The impact of storage temperature (4, 22 and 37 C) and storage time (7, 14 and 21 days) on anaerobic digestion inocula was investigated through specific methanogenic activity assays. Experimental results showed that methanogenic activity decreased over time with storage, regardless of storage temperature. However, the rate at which the methanogenic activity decreased was two and five times slower at 4 C than at 22 and 37 C, respectively. The inoculum stored at 4 C and room temperature (22 C) maintained methanogenic activity close to that of fresh inoculum for 14 days (<10% difference). However, a storage temperature of 4 C is preferred because of the slower decrease in activity with lengthier storage time. From this research, it was concluded that inoculum storage time should generally be kept to a minimum, but that storage at 4 C could help maintain methanogenic activity for longer."
169,"title:Coupling Hydrothermal Carbonization with Anaerobic Digestion for Sewage Sludge Treatment: Influence of HTC Liquor and Hydrochar on Biomethane Production,abstract:The present study addresses the coupling of hydrothermal carbonization (HTC) with anaerobic digestion (AD) in wastewater treatment plants. The improvement in biomethane production due to the recycling back to the anaerobic digester of HTC liquor and hydrochar generated from digested sludge is investigated and proved. Mixtures of different compositions of HTC liquor and hydrochar, as well as individual substrates, were tested. The biomethane yield reached 102  3 mL CH4 g-1 COD when the HTC liquor was cycled back to the AD and treated together with primary and secondary sludge. Thus, the biomethane production was almost doubled compared to that of the AD of primary and secondary sludge (55  20 mL CH4 g-1 COD). The benefit is even more significant when both the HTC liquor and the hydrochar were fed to the AD of primary and secondary sludge. The biomethane yield increased up to 187  18 mL CH4 g-1 COD when 45% of hydrochar, with respect to the total feedstock, was added. These results highlight the improvement that the HTC process can bring to AD, enhancing biomethane production and promoting a sustainable solution for the treatment of the HTC liquor and possibly the hydrochar itself."
170,"title:Upcycling Phosphorus Recovered from Anaerobically Digested Dairy Manure to Support Production of Vegetables and Flowers,abstract:Dissolved air flotation (DAF) separates phosphorus (P)-rich fine solids from anaerobically digested dairy manure, creating opportunities to export surplus P to the marketplace as a bagged plant food product. Seedlings of tomato and marigold were amended at various volume per volume (v/v) ratios with plant foods consisting of fine solids upcycled (i.e., transformed into a higher quality product) by drying and blending with other organic residuals. A plate competition assay was conducted to assess the fine solids’ potential to suppress the plant pathogen Rhizoctonia solani. Plant foods were comprised of 2.0–2.1% N, 0.8–0.9% P and 0.6–0.8% K. Extractions indicated that plant foods contained a mixture of plant-available and slow-release P. At 6% v/v plant food, dry biomass of marigold and tomato were six-times greater than the unamended control and not significantly different from a market alternative treatment. Fine solids exhibited negligible potential to suppress R. solani. This study indicates that DAF-separated fine solids could be used to support horticulture, providing information for design of a circular economy approach to dairy manure nutrient management. Life cycle assessment and business model development for this nutrient recovery strategy are necessary next steps to further guide sustainability efforts."
171,"title:Cyanobacterial Growth in Minimally Amended Anaerobic Digestion Effluent and Flue-Gas,abstract:Anaerobic digestion (AD) is an important industrial process, particularly in a biorefinery approach. The liquid effluent and carbon dioxide in the off-gas, can be used to produce high-value products through the cultivation of cyanobacteria. Growth on AD effluent is often limited due to substrate limitation or inhibitory compounds. This study demonstrates the successful cultivation of Synechococcus on minimally amended AD effluent, supplemented with MgSO4 and diluted with seawater. An 8 L airlift reactor illustrated growth in a pilot scale setup. Higher biomass yields were observed for cyanobacteria grown in diluted AD effluent compared to minimal medium, with 60% total nitrogen removal in the effluent. It was demonstrated that controlling the pH, increasing dissolved salt concentrations and adding MgSO4 to the effluent allowed for the successful cultivation of the cyanobacterium, circumventing the addition of clean water for effluent dilution. This could ultimately increase the feasibility of anaerobic digestion-microalgae integrated biorefineries."
172,"title:Removal of Nutrients From Anaerobically Digested Swine Wastewater Using an Interm﻿﻿ittent Cycle Extended Aeration System,abstract:﻿Swine wastewater contains high concentrations of organic compounds, nutrients (nitrogen and phosphorus), heavy metals, and residual antibiotics, amongst others, that have negative impacts on the water environment."
173,"title:Synergy of combined free nitrous acid and Fenton technology in enhancing anaerobic digestion of actual sewage waste activated sludge,abstract:Scientific Reports, doi:10.1038/s41598-020-62008-9"
174,"title:Dry Anaerobic Digestion of Chicken Manure: A Review,abstract:Providing anaerobic digestion is a prospective technology for utilizing organic waste, however, for waste with a high content of nitrogen such as manure, dilution is necessary to decrease the ammonia inhibition effect which leads to the production of a huge effluent amount which is difficult to use. Dry anaerobic digestion has some advantages such as reduced reactor volume, higher volumetric methane yield, lower energy consumption for heating, less wastewater production, and lower logistic costs for fertilizers. These factors generate interest in using it for treatment of even high-nitrogen substrates. The purpose of this work was to analyze different dry anaerobic digestion technologies, the features of dry anaerobic digestion, laboratory studies on chicken manure dry anaerobic digestion, and methods of reducing inhibitors’ effects. Nowadays, there are no dry anaerobic industrial plants working on chicken manure. However, studies on dry anaerobic digestion of chicken manure have proven the possibility of methane production under fermentation of chicken manure with high total solids content, but the process has been described as being unstable. Co-fermentation, ammonium/ammonia removal, and adaptation of the microbial consortium have been used to decrease the effect of ammonia inhibition. A prospective way for ammonia concentration control is absorption using a non-volatile sorbent located in the reactor. It decreases ammonia content during wet anaerobic digestion by 33% and it is characterized by having a positive economic effect. Therefore, dry anaerobic fermentation of chicken manure is possible, but there is still no efficient way to provide it. The results of this article should be helpful in the selection of anaerobic digestion technology for treating chicken manure."
175,"title:Improvement of Waste Dehydrated Sludge for Anaerobic Digestion through High-Temperature and High-Pressure Solubilization,abstract:Biochemical methane potential tests and lab-scale continuous experiments were conducted to improve the yield and energy efficiency of anaerobic digestion through thermal hydrolysis pre-treatment. Methane generation, yield, and solubilization efficiency were evaluated through lab-scale tests. The pre-treated samples presented 50% biodegradability at 140 C and 61.5% biodegradability at 165 C. The increase in biodegradability was insignificant at 165 C or higher temperature, and it was confirmed that the optimum conditions were achieved at 165 C and 20 min of solubilization. The lab-scale continuous experiments confirmed that polymers were decomposed into low-molecular-weight compounds due to thermal hydrolysis, and pH decreased. NH4HCO3 produced by thermal hydrolysis acted as an alkali to enable a more stable operation compared to that before thermal hydrolysis. Total chemical oxygen demand as chromium (TCODCr) and soluble chemical oxygen demand as chromium (SCODCr) indicated 35.4% and 23.1% removal efficiency in terms of organic matter removal, respectively. Methane yield was approximately 0.35 kg m-3 at 2.0–4.0 kg (m3 d)-1 and 0.26 kg m-3 at 5.0 kg (m3 d)-1. The solubilization rate of 40.9% by thermal hydrolysis was confirmed through the lab-scale tests to determine its full-scale applicability."
176,"title:Biogas from Anaerobic Digestion: Power Generation or Biomethane Production?,abstract:Biogas is a fuel obtained from organic waste fermentation and can be an interesting solution for producing electric energy, heat and fuel. Recently, many European countries have incentivized the production of biomethane to be injected into natural gas grids or compressed and used as biofuel in vehicles. The introduction of an upgrading unit into an existing anaerobic digestion plant to convert biogas to biomethane may have a strong impact on the overall energy balance of the systems. The amount of biomethane produced may be optimized from several points of view (i.e., energy, environmental and economic). In this paper, the mass and energy fluxes of an anaerobic digestion plant were analyzed as a function of the biogas percentage sent to the upgrading system and the amount of biomethane produced. A numerical model of an anaerobic digestion plant was developed by considering an existing case study. The mass and energy balance of the digesters, cogeneration unit, upgrading system and auxiliary boiler were estimated when the amount of produced biomethane was varied. An internal combustion engine was adopted as the cogeneration unit and a CO2 absorption system was assumed for biogas upgrading. Results demonstrated that the energy balance of the plant is strictly dependent on the biomethane production and that an excess of biomethane production makes the plant totally dependent on external energy sources. As for the environmental impact, an optimal level of biomethane production exists that minimizes the emissions of equivalent CO2. However, high biomethane subsides can encourage plant managers to increase biomethane production and thus reduce CO2 savings."
177,"title:Treatment of Cattle Manure by Anaerobic Co-Digestion with Food Waste and Pig Manure: Methane Yield and Synergistic Effect,abstract:The management of cattle manure (CM) has become increasingly challenging because its production continues to rise, while the regulations on manure management have become increasingly stringent. In Korea, most farms produce CM as a dry mixture with lignocellulosic bedding materials (mainly sawdust), making it impractical to treat CM by anaerobic digestion. To address this problem, this study examined whether anaerobic co-digestion with food waste (FW) and pig manure (PM) could be an effective approach for the treatment of CM. The batch anaerobic digestion tests at different CM: FW: PM mixing ratios showed that more methane was produced as the FW fraction increased, and as the CM fraction decreased. The response surface models describing how the substrate mixing ratio affects the methane yield and synergistic effect (methane yield basis) were successfully generated. The models proved that the methane yield and synergistic effect respond differently to changes in the substrate mixing ratio. The maximum 30-day methane yield was predicted at 100% FW, whereas the maximum 30-day synergy index was estimated for the mixture of 47% CM, 6% FW, and 47% PM (total solids basis). The synergy index model showed that CM, FW, and PM could be co-digested without a substantial loss of their methane potential at any mixing ratio (30-day synergy index, 0.89–1.22), and that a possible antagonistic effect could be avoided by keeping the FW proportion less than 50%. The results suggest that co-digestion with PM and FW could be flexibly applied for the treatment and valorization of CM in existing anaerobic digestion plants treating FW and PM."
178,"title:Techno-economic evaluation of biogas production from food waste via anaerobic digestion,abstract:Scientific Reports, https://doi.org/10.1038/s41598-020-72897-5"
179,"title:Integrated Membrane Process for the Treatment and Reuse of Residual Table Olive Fermentation Brine and Anaerobically Digested Sludge Centrate,abstract:Management of wastewater is a major challenge nowadays, due to increasing water demand, growing population and more stringent regulations on water quality. Wastewaters from food conservation are especially difficult to treat, since they have high salinity and high organic matter concentration. The aim of this work is the treatment of the effluent from a table olive fermentation process (FTOP) with the aim of reusing it once the organic matter is separated. The process proposed in this work consists of the following membrane-based technologies: Ultrafiltration (UF) (UP005, Microdyn Nadir), Forward Osmosis (FO) (Osmen2521, Hydration Technology Innovation) and Nanofiltration (NF) (NF245, Dow). The FO process was implemented to reduce the salinity entering the NF process, using the FTOP as draw solution and, at the same time, to concentrate the centrate produced in the sludge treatment of a municipal wastewater treatment plant with the aim of obtaining a stream enriched in nutrients. The UF step achieved the elimination of 50% of the chemical oxygen demand of the FTOP. The UF permeate was pumped to the FO system reducing the volume of the anaerobically digested sludge centrate (ADSC) by a factor of 3 in 6.5 h. Finally, the ultrafiltrated FTOP diluted by FO was subjected to NF. The transmembrane pressure needed in the NF stage was 40% lower than that required if the ultrafiltration permeate was directly nanofiltered. By means of the integrated process, the concentration of organic matter and phenolic compounds in the FTOP decreased by 97%. Therefore, the proposed process was able to obtain a treated brine that could be reused in other processes and simultaneously to concentrate a stream, such as the ADSC."
180,"title:Role of Microbial Hydrolysis in Anaerobic Digestion,abstract:There is a growing need of substrate flexibility for biobased production of energy and value-added products that allows the application of variable biodegradable residues within a circular economy. It can be used to balance fluctuating energy provision of other renewable sources. Hydrolysis presents one of the biggest limitations during anaerobic digestion. Methods to improve it will result in broader process applicability and improved integration into regional material cycles. Recently, one focus of anaerobic digestion research has been directed to systems with a separate hydrolysis–acidogenesis stage as it might be promised to improve process performance. Conditions can be adjusted to each class of microorganisms individually without harming methanogenic microorganisms. Extensive research of separate biomass pretreatment via biological, chemical, physical or mixed methods has been conducted. Nevertheless, several methods lack economic efficiency, have a high environmental impact or focus on specific substrates. Pretreatment via a separate hydrolysis stage as cell-driven biotransformation in a suspension might be an alternative that enables high yields, flexible feeding and production, and a better process control. In this review, we summarize existing technologies for microbial hydrolytic biotransformation in a separate reactor stage and the impacts of substrate, operational parameters, combined methods and process design as well as remaining challenges."
181,"title:Effect of the operating conditions on the anaerobic digestion of wheatgrass for chemicals and energy production,abstract:Biomass Conv. Bioref., doi:10.1007/s13399-020-00735-9"
182,"title:Influences of Temperature and Substrate Particle Content on Granular Sludge Bed Anaerobic Digestion,abstract:Influences of temperature (25–35 C) and substrate particulate content (3.0–9.4 g total suspended solids (TSS)/L) on granular sludge bed anaerobic digestion (AD) were analyzed in lab-scale reactors using manure as a substrate and through modeling. Two particle levels were tested using raw (RF) and centrifuged (CF) swine manure slurries, fed into a 1.3-L lab-scale up-flow anaerobic sludge bed reactor (UASB) at temperatures of 25 C and 35 C. Biogas production increased with temperature in both high- and low-particle-content substrates; however, the temperature effect was stronger on high-particle-content substrate. RF and CF produced a comparable amount of biogas at 25 C, suggesting that biogas at this temperature came mainly from the digestion of small particles and soluble components present in similar quantities in both substrates. At 35 C, RF showed significantly higher biogas production than CF, which was attributed to increased (temperature-dependent) disintegration of larger solid particulates. Anaerobic Digestion Model No.1 (ADM1) based modeling was carried out by separating particulates into fast and slow disintegrating fractions and introducing temperature-dependent disintegration constants. Simulations gave a better fit for the experimental data than the conventional ADM1 model."
183,"title:Dynamics of Clostridium genus and hard-cheese spoiling Clostridium species in anaerobic digesters treating agricultural biomass,abstract:AMB Express, https://doi.org/10.1186/s13568-020-01040-4"
184,"title:Role of Biochar in Anaerobic Digestion Based Biorefinery for Food Waste,abstract:The effect of biochar addition on the anaerobic digestion (AD) of food waste was evaluated."
185,"title:Impacts of Temperature and Solids Retention Time, and Possible Mechanisms of Biological Hydrolysis Pretreatment on Anaerobic Digestion,abstract:Anaerobic digestion (AD) has benefits in sludge management, energy recovery, and  pathogen reduction. In order to better understand the mechanisms of biological hydrolysis (BH) pretreatment on AD, biochemical methane potential (BMP) and continuous stirred-tank reactor (CSTR) tests were utilized to compare untreated municipal combined sludge with pilot-scale BH pretreated sludge. During the BH process, there was 15%, 30%, and 33% (w/w) volatile solids (VS) reduction after BH at 42 C (BH42) for 24, 48, and 72 h, respectively; under BH61 (42 C for 36 h and 61 C for 6 h), and there was 10% and 30% (w/w) overall VS reduction after 36-h and 42-h hydrolysis, respectively. BMP results showed that BH42-pretreated sludge had 22.6% enhancement of methane yield compared to untreated sludge, and BH61 pretreated sludge had 29.4% enhancement of methane yield. Both temperature and solids’ retention time (SRT) contributed to the enhanced AD performance within 36 h, while temperature played more important roles after 36-h BH pretreatment. CSTR tests confirmed the acceleration of anaerobic digestion by BH pretreatment, and higher enhancement was observed when SRT of anaerobic digestion was shorter than 16 days. Through a literature review of BH-related studies, the possible mechanisms were highlighted for further optimization on the scale-up systems in order to reduce carbon footprint and operating expenditure for wastewater treatment plants."
186,"title:Anaerobic Digestion of Pretreated Industrial Residues and Their Energetic Process Integration,abstract:The food and beverage industry offers a wide range of organic feedstocks for use in biogas production by means of anaerobic digestion (AD)."
187,"title:Early warning indicators for mesophilic anaerobic digestion of corn stalk: a combined experimental and simulation approach,abstract:Biotechnology for Biofuels, https://doi.org/10.1186/s13068-019-1442-7"
188,"title:Biochemical Methane Potential (BMP) Assay Method for Anaerobic Digestion Research,abstract:Biochemical methane potential (BMP) tests are widely used for characterizing a substrate’s influence on the anaerobic digestion process. As of 2018, there continues to be a lack of standardization of units and techniques, which impacts the comparability and validity of BMP results. However, BMP methods continue to evolve, and key aspects are studied to further eliminate systematic errors. This paper aims to update these key aspects with the latest research progress both to introduce the importance of each variable to those new to BMP measurements and to show the complexity required to design an accurate BMP test."
189,"title:Anaerobic Digestion of Fruit Waste Mixed With Sewage Sludge Digestate Biochar: Influence on Biomethane Production,abstract:The main aim of this study was to evaluate the biomethane potential (BMP) of fruit waste by incorporating additives such as sewage sludge biochar at different inoculum-to-substrate ratios (ISRs) of 2, 1.5, and 1 (wt./wt.)."
190,"title:The Effects of Halogenated Compounds on the Anaerobic Digestion of Macroalgae,abstract:The urgent need to replace fossil fuels has seen macroalgae advancing as a potential feedstock for anaerobic digestion. The natural methane productivity (dry weight per hectare) of seaweeds is greater than in many terrestrial plant systems. As part of their defence systems, seaweeds, unlike terrestrial plants, produce a range of halogenated secondary metabolites, especially chlorinated and brominated compounds. Some orders of brown seaweeds also accumulate iodine, up to 1.2% of their dry weight. Fluorine remains rather unusual within the chemical structure. Halogenated hydrocarbons have moderate to high toxicities. In addition, halogenated organic compounds constitute a large group of environmental chemicals due to their extensive use in industry and agriculture. In recent years, concerns over the environmental fate and release of these halogenated organic compounds have resulted in research into their biodegradation and the evidence emerging shows that many of these compounds are more easily degraded under strictly anaerobic conditions compared to aerobic biodegradation. Biosorption via seaweed has become an alternative to the existing technologies in removing these pollutants. Halogenated compounds are known inhibitors of methane production from ruminants and humanmade anaerobic digesters. The focus of this paper is reviewing the available information on the effects of halogenated organic compounds on anaerobic digestion."
191,"title:Optimization of mesophilic anaerobic digestion of a conventional activated sludge plant for sustainability,abstract:Alexandria Engineering Journal, Corrected proof. doi:10.1016/j.aej.2019.08.012"
192,"title:A Mini-Review on In situ Biogas Upgrading Technologies via Enhanced Hydrogenotrophic Methanogenesis to Improve the Quality of Biogas From Anaerobic Digesters,abstract:In the context of accelerating development of renewable and sustainable energy, biogas upgrading has attracted significant attention in order to yield high quality biomethane which can be utilized as an alternative to natural gas."
193,"title:Effects of different potassium and nitrogen pretreatment strategies on anaerobic digestion performance of rice straw,abstract:RSC Advances (2020), 10, 25547-25556, doi:10.1039/D0RA02136A"
194,"title:Comparative evaluation of the biochemical methane potential of waste activated sludge acetic acid and cellulose substrates under mesophilic and thermophilic anaerobic digestion,abstract:SN Applied Sciences, https://doi.org/10.1007/s42452-020-03359-w"
195,"title:Biofuel Produced from Solid-State Anaerobic Digestion of Dairy Cattle Manure in Coordination with Black Soldier Fly Larvae Decomposition,abstract:This study was conducted to evaluate the feasibility of applying a two-step biological treatment process, solid-state anaerobic digestion (SSAD) and black soldier fly larvae (BSFL) composting, for the treatment of dairy cattle manure. Biogas from the SSAD of dairy cattle manure, and the digestate of SSAD was fed to BSFL. In turn, BSFL can be fed to animals as a protein supplement. Adjustment of the pH and 30% inoculation ratio (IR30) during SSAD produced the highest theoretical methane yield, 626.1  28.7 L CH4/kg VSdes, with an ultimate methane yield of 96.81  2.0 L CH4/kg VSload. For BSFL composting, the groups with a feeding rate of 75 and 100 mg/day/larvae had the highest body weight change, which was 969.6  28.4% and 984.1  177.6%, respectively. The combination process of SSAD and BSFL composting increases the incentive for dairy cattle manure treatment instead of conventional composting and produced more valuable products."
196,"title:Integration of Hydrothermal Carbonisation with Anaerobic Digestion; Opportunities for Valorisation of Digestate,abstract:Hydrothermal carbonisation (HTC) has been identified as a potential route for digestate enhancement producing a solid hydrochar and a process water rich in organic carbon. This study compares the treatment of four dissimilar digestates from anaerobic digestion (AD) of agricultural residue (AGR); sewage sludge (SS); residual municipal solid waste (MSW), and vegetable, garden, and fruit waste (VGF). HTC experiments were performed at 150, 200 and 250 C for 1 h using 10%, 20%, and 30% solid loadings of a fixed water mass. The effect of temperature and solid loading to the properties of biocoal and biochemical methane potential (BMP) of process waters are investigated. Results show that the behaviour of digestate during HTC is feedstock dependent and the hydrochar produced is a poor-quality solid fuel. The AGR digestate produced the greatest higher heating value (HHV) of 24 MJ/kg, however its biocoal properties are poor due to slagging and fouling propensities. The SS digestate process water produced the highest amount of biogas at 200 C and 30% solid loading. This study concludes that solely treating digestate via HTC enhances biogas production and that hydrochar be investigated for its use as a soil amender."
197,"title:The use of lytic polysaccharide monooxygenases in anaerobic digestion of lignocellulosic materials,abstract:Biotechnology for Biofuels, https://doi.org/10.1186/s13068-019-1611-8"
198,"title:Synergistic Co-Digestion of Microalgae and Primary Sludge to Enhance Methane Yield from Temperature-Phased Anaerobic Digestion,abstract:A two-stage temperature-phased mesophilic anaerobic digestion assay was carried out to study the interaction between various biological pretreatment conditions and the possible synergistic co-digestion of microalgae and primary sludge. The study of growth kinetics of the biochemical methane potential test revealed that a maximum of 36% increase in methane yield was observed from co-digestion of a substrate pretreated by thermophilic aerobic conditions (55 C and HRT = 2 days) and an 8.3% increase was obtained from the anaerobic pretreated substrate (55 C and HRT = 3 days). Moreover, no synergistic effects on methane yields were observed in co-digesting the substrate pretreated with high temperature (85 C). The study also identified specific conditions in which interaction between biological pretreatment and co-digestion might substantially reduce methane yield. Careful optimization of operating conditions, both aerobic and anaerobic pretreatment at moderate thermophilic conditions, can be used as a biological pretreatment to enhance methane yield from the co-digestion of microalgae and primary sludge."
199,"title:An Assessment of Different Integration Strategies of Hydrothermal Carbonisation and Anaerobic Digestion of Water Hyacinth,abstract:Water hyacinth (WH) is an invasive aquatic macrophyte that dominates freshwater bodies across the world. However, due to its rapid growth rate and wide-spread global presence, WH could offer great potential as a biomass feedstock, including for bioenergy generation. This study compares different integration strategies of hydrothermal carbonisation (HTC) and anaerobic digestion (AD) using WH, across a range of temperatures. These include (i) hydrochar combustion and process water digestion, (ii) hydrochar digestion, (iii) slurry digestion. HTC reactions were conducted at 150 C, 200 C, and 250 C. Separation of hydrochars for combustion and process waters for digestion offers the most energetically-feasible valorisation route. However, hydrochars produced from WH display slagging and fouling tendencies; limiting their use in large-scale combustion. AD of WH slurry produced at 150 C appears to be energetically-feasible and has the potential to also be a viable integration strategy between HTC and AD, using WH."
200,"title:Role of Microbial Hydrolysis in Anaerobic Digestion,abstract:There is a growing need of substrate flexibility for biobased production of energy and value-added products that allows the application of variable biodegradable residues within a circular economy. It can be used to balance fluctuating energy provision of other renewable sources. Hydrolysis presents one of the biggest limitations during anaerobic digestion. Methods to improve it will result in broader process applicability and improved integration into regional material cycles. Recently, one focus of anaerobic digestion research has been directed to systems with a separate hydrolysis–acidogenesis stage as it might be promised to improve process performance. Conditions can be adjusted to each class of microorganisms individually without harming methanogenic microorganisms. Extensive research of separate biomass pretreatment via biological, chemical, physical or mixed methods has been conducted. Nevertheless, several methods lack economic efficiency, have a high environmental impact or focus on specific substrates. Pretreatment via a separate hydrolysis stage as cell-driven biotransformation in a suspension might be an alternative that enables high yields, flexible feeding and production, and a better process control. In this review, we summarize existing technologies for microbial hydrolytic biotransformation in a separate reactor stage and the impacts of substrate, operational parameters, combined methods and process design as well as remaining challenges."
201,"title:Synergy of combined free nitrous acid and Fenton technology in enhancing anaerobic digestion of actual sewage waste activated sludge,abstract:Scientific Reports, doi:10.1038/s41598-020-62008-9"
202,"title:Comparative evaluation of the biochemical methane potential of waste activated sludge acetic acid and cellulose substrates under mesophilic and thermophilic anaerobic digestion,abstract:SN Applied Sciences, https://doi.org/10.1007/s42452-020-03359-w"
203,"title:Data related to anaerobic digestion of bioplastics: Images and properties of digested bioplastics and digestate, synthetic food waste recipe and packaging information,abstract:Data in brief, 25 (2019) 103990. doi:10.1016/j.dib.2019.103990"
204,"title:Biogas production management systems with model predictive control of anaerobic digestion processes,abstract:Bioprocess and Biosystems Engineering, https://doi.org/10.1007/s00449-020-02404-7"
205,"title:Influence of Granular Activated Carbon on Anaerobic Co-Digestion of Sugar Beet Pulp and Distillers Grains with Solubles,abstract:Anaerobic digestion is an important technology to receive energy from various types of biomass. In this work, the impact of granular activated carbon (GAC) on the mesophilic anaerobic co-digestion of sugar beet pulp and distillers grains was investigated. After a short period, anaerobic reactors began to produce biomethane and were ready for completion within 19–24 days. The addition of GAC to reactors (5–10 g L-1) significantly enhanced the methane production rate and consumption of produced volatile fatty acids. Thus, the maximum methane production rate increased by 13.7% in the presence of GAC (5 g L-1). Bacterial and archaeal community structure and dynamics were investigated, based on 16S rRNA genes analysis. The abundant classes of bacteria in GAC-free and GAC-containing reactors were Clostridia, Bacteroidia, Actinobacteria, and Synergistia. Methanogenic communities were mainly represented by the genera Methanosarcina, Methanoculleus, Methanothrix, and Methanomassiliicoccus in GAC-free and GAC-containing reactors. Our results indicate that the addition of granular activated carbon at appropriate dosages has a positive effect on anaerobic co-digestion of by-products of the processing of sugar beet and ethanol distillation process."
206,"title:Long-Term Evaluation of Mesophilic Semi-Continuous Anaerobic Digestion of Olive Mill Solid Waste Pretreated with Steam-Explosion,abstract:Steam-explosion is a promising technology for recovering phenolic compounds from olive mill solid waste (OMSW) due to its high impact on the structure of the fibre. Moreover, the recovery of the phenols, which are well-known microbial inhibitors, could improve the subsequent biomethanization of the dephenolized OMSW to produce energy. However, there is a considerable lack of knowledge about how the remaining phenolic compounds could affect a long-term biomethanization process of steam-exploded OMSW. This work evaluated a semi-continuous mesophilic anaerobic digestion of dephenolized steam-exploited OMSW during a long operational period (275 days), assessing different organic loading rates (OLRs). The process was stable at an OLR of 1 gVS/(Ld), with a specific production rate of 163  28 mL CH4/(gVSd). However, the increment of the OLR up to 2 gVS/(Ld) resulted in total exhaust of the methane production. The increment in the propionic acid concentration up to 1486 mg/L could be the main responsible factor for the inhibition. Regardless of the OLR, the concentration of phenolic compounds was always lower than the inhibition limits. Therefore, steam-exploited OMSW could be a suitable substrate for anaerobic digestion at a suitable OLR."
207,"title:Anaerobic Digestion of Tetracycline Spiked Livestock Manure and Poultry Litter Increased the Abundances of Antibiotic and Heavy Metal Resistance Genes,abstract:Anaerobic digestion is used for the treatment of animal manure by generating biogas."
208,"title:Interactive Effects of Chemical Composition of Food Waste during Anaerobic Co-Digestion under Thermophilic Temperature,abstract:The effects of chemical composition (carbohydrates, lipids, and protein) on the anaerobic co-digestion performance of food wastes (FW) were investigated from the viewpoints of methane production, dynamic parameters, and microbial community structure. The results of this study showed that a notable gasification rate was positively correlated with the proportion of the composition. A T2 reactor, which consisted of 60% carbohydrates, 20% lipids, and 20% protein, held a higher gasification rate of 65.09% compared to other groups, while its process parameters showed some deficiency regarding the stability of digestion, especially for low biochemical methane potential (BMP), which was not beneficial for the actual practice. A T4 reactor, with a highest gasification rate of 70.68%, held the maximum BMP (497.44 mL/g VS). The stable chemical parameters achieved the optimal proportion, consisting of 40% carbohydrates, 40% lipids, and 20% protein. Furthermore, its microbial populations were rich and achieved a balance of the two main dominant communities of acetoclastic methanogens and hydrogenotrophic methanogens, whose relative abundance was close. It was obvious that interactive effects were caused by different proportional composition, which led to constantly changing chemical parameters and microbial community."
209,"title:Optimisation and Modelling of Anaerobic Digestion of Whiskey Distillery/Brewery Wastes after Combined Chemical and Mechanical Pre-Treatment,abstract:Whiskey distillery waste streams consisting of pot ale (liquid residue) and spent grain (solid residue) are high strength organic wastes and suitable feedstock for anaerobic digestion (AD) from both economic and environmental stand points. Anaerobic digestion of pot ale and pot ale/spent grain mixtures (with mixing ratios of 1:1, 1:3, and 1:5 by wet weight) was performed after implementation of a novel hybrid pre-treatment (combined chemical and mechanical) in order to modify lignocellulosic structure and ultimately enhance digestion yield. Lignin, hemicellulose, and cellulose fractions were determined before and after chemical pre-treatment. Effects of different inoculum rates (10–30–50% on wet basis) and beating times (0–7.5–15 min) on anaerobic digestion of pot ale alone and of pot ale/spent grain mixtures were investigated in lab scale batch mode with a major focus of optimising biogas yield by using response surface methodology (RSM) in Design Expert Software. The highest biogas yields of 629  8.5 mL/g vs. (51.3% CH4) and 360  10 mL/g vs. (55.0  0.4) with anaerobic digestion of pot ale alone and spent grain mix after 1M NaOH and 7.5 min beating pre-treatments with 50% inoculum ratio respectively. The optimum digestion conditions to maximise the biogas quality and quantity were predicted as 10 and 13 min beating times and 32 and 38 C digestion temperatures for anaerobic digestion of pot ale alone and spent grain mix respectively."
